E.Colli,Coliform,Arsen,Kromium,Kadmium ,Nitrit,Nitrat,Sianida,Selenium,Alumunium,Besi,Kesadahan,Klorida,Mangan,pH,Seng,Sulfat,Tembaga,Amonia,Chlor,BOD5,COD,Bau,Warna,Kekeruhan,Rasa ,Suhu,TDS,Potabilitas
32,790000,"0,000778","0,005","0,002",45,"5,2","0,002","0,0023","0,09","0,3","125,54","16,4","0,09","6,11","0,015","32,2","0,018","0,006","0,08","3,6","7,1",Berbau,83,"0,22",Tidak Berasa,"26,3",114,0
81,1700000,"0,000552","0,019","0,002","0,06","5,8","0,002","0,0023","0,1","0,3","152,54","16,6","0,09","6,25",35,"32,2","0,018",31,"0,08","3,8","11,2",Berbau,85,"0,31",Tidak Berasa,"26,3",105,0
59,5400000,"0,000138","0,002","0,002","0,119",7,"0,003","0,0023","0,05","0,3","108,38","17,4","0,09","6,54","0,015","32,2","0,018",28,"0,08","4,4","9,1",Berbau,"79,5","1,23",Tidak Berasa,"30,2",141,0
72,4300000,"0,000239","0,005","0,002","0,173","7,1","0,003","0,0023","0,1","0,3","140,5","18,2","0,34","6,54","0,015","32,2","0,018",31,"0,08","4,6","10,6",Berbau,63,"0,4",Tidak Berasa,"29,2",148,0
184,3500000,"0,000336","0,019","0,001","0,22","7,2","0,002","0,0023","0,0922","0,3","130,46","4,8","0,09","6,69","0,015","32,2","0,018",36,"0,08","4,2","12,7",Berbau,78,"0,2",Tidak Berasa,"30,2",151,0
184,260000,"0,000697","0,002",0,"0,068","5,7","0,003","0,0023","0,04","0,3","121,43","19,2","0,09","6,42","0,015","32,2","0,018",42,"0,08",2,8,Berbau,89,"0,2",Tidak Berasa,"27,3",136,0
37,1700000,"0,000761","0,005",0,"0,094","6,3","0,003","0,0023","0,022","0,3","121,22","19,2","0,09","6,32","0,015","32,2","0,018",17,"0,08","3,1","13,3",Berbau,100,"0,4",Tidak Berasa,"27,3",143,0
11,9200000,"0,000941","0,019","0,003","0,135","7,1","0,003","0,0023",0,"0,3","174,62","21,6","0,09","6,38","0,015","32,2","0,018",27,"0,08","2,6","13,3",Berbau,93,"0,5",Tidak Berasa,"27,3",143,0
42,2100000,"0,000659","0,002","0,003","0,08","10,8","0,003","0,0023","0,053","0,3","132,47","7,1","0,09","6,3","0,015","32,2","0,018",19,"0,08","2,5","10,7",Berbau,127,"0,2",Tidak Berasa,"27,3",150,0
54,2200000,"0,000746","0,005","0,002","0,098","11,1","0,002","0,0023","0,113","0,3","125,54","7,8","0,09","6,58","0,015","32,2","0,018",22,"0,08","2,3",16,Berbau,109,"0,4",Tidak Berasa,"27,3",155,0
51,5400000,"0,000394","0,019","0,002","0,13","11,3","0,003","0,0023","0,141","0,3","152,54","9,1","0,09","6,99","0,015","32,2","0,018","0,22","0,08","1,7","18,9",Berbau,101,"28,3",Tidak Berasa,"27,3",165,0
120,9200000,"0,000623","0,002","0,002","0,167","11,4","0,002","0,0023","0,0006","0,3","108,38","10,1","0,09","6,72","0,015","32,2","0,018",17,"0,08","1,9",22,Berbau,78,"0,2",Tidak Berasa,"28,2",170,0
46,3500000,"0,000114","0,005","0,003","0,115","11,3","0,002","0,0023","0,001","0,3","140,5","10,8","0,09","6,59","0,015","32,2","0,018","0,006","0,08","2,8","12,8",Berbau,"101,5","0,6",Tidak Berasa,"28,2",175,0
174,5400000,"0,000336","0,019","0,003","0,283","2,1","0,006","0,0023","0,00","0,3","130,46","9,8","0,09","6,07","0,015","32,2","0,018","0,006","0,06","1,9",20,Berbau,148,"1,3",Tidak Berasa,"27,3",121,0
126,5400000,"0,000689","0,002","0,003","0,53","11,3","0,003","0,0023","0,00","0,3","121,43","11,3","0,09","6,04","0,015","32,2","0,018",13,"0,08","1,7","20,36",Berbau,69,"0,7",Tidak Berasa,"28,2",183,0
79,9200000,"0,000222","0,005","0,003","0,73","10,5","0,003","0,0023","0,03","0,3","121,22","10,8","0,09","6,13","0,015","32,2","0,018",14,"0,08","1,5",12,Berbau,64,"27,6",Tidak Berasa,"28,2","173,5",0
195,2800000,"0,000954","0,019","0,003","0,452","11,3","0,002","0,0023","0,02","0,3","174,62",28,"0,09","6,32","0,015","32,2","0,018",12,"0,08","1,5",12,Berbau,70,"0,4",Tidak Berasa,"28,2",192,0
128,330000,"0,000993","0,002","0,001","0,088","6,7","0,001","0,0023","0,063","0,3","132,47","11,3","0,09","6,42","0,015","32,2","0,018",12,"0,08","1,5","16,4",Berbau,"4,3","0,3",Tidak Berasa,"28,2",154,0
73,1400000,"0,000587","0,005","0,0031","0,107","7,4","0,002","0,0023","0,01","0,3","125,54","10,1","0,09","6,56","0,015","32,2","0,018",0,"0,06","1,8","17,2",Berbau,"0,89","38,2",Tidak Berasa,"28,2",168,0
142,16000000,"0,000471","0,019","0,002","0,253","9,1","0,002","0,0023","0,01","0,3","152,54","11,1","0,09","6,53","0,015","32,2","0,018",18,"0,08","1,9","16,6",Berbau,"1,96","10,85",Tidak Berasa,"29,2",183,0
70,16000000,"0,000122","0,002","0,001","0,382","9,5","0,002","0,0023","0,01","0,3","108,38","12,9","0,09","6,57","0,015","32,2","0,018",23,"0,08","1,3","15,4",Berbau,"5,77","0,4",Tidak Berasa,"29,2",186,0
120,9200000,"0,000232","0,005",0,"0,5","9,6","0,002","0,0023","0,038","0,3","140,5","13,4","0,09","6,59","0,015","32,2","0,018","0,006","0,06","1,6","25,6",Berbau,"2,59","0,7",Tidak Berasa,"29,2",201,0
16,1400000,"0,000996","0,019","0,001","0,157","15,4","0,002","0,0023","0,056","0,3","130,46","23,7","0,09","6,35","0,015","32,2","0,018",13,"0,06","2,6","15,4",Berbau,"12,7","0,2",Tidak Berasa,"27,3",186,0
194,9200000,"0,000223","0,002","0,002","0,178","15,4","0,002","0,0023","0,012","0,3","121,43","17,9","0,09","6,67","0,015","32,2","0,018","0,006","0,06","2,2","12,7",Berbau,"6,3","0,2",Tidak Berasa,"28,2",187,0
188,3500000,"0,000881","0,005","0,002","0,228","15,4","0,002","0,0023","0,063","0,3","121,22","24,4","0,09","6,48","0,015","32,2","0,018","0,006","0,06",2,"10,3",Berbau,"20,2","0,3",Tidak Berasa,"28,2",184,0
65,2200000,"0,000746","0,019","0,002","0,253","14,7","0,003","0,0023",0,"0,3","174,62","15,6","0,09","6,51","0,015","32,2","0,018","0,006","0,06","1,8",12,Berbau,"4,6","0,7",Tidak Berasa,"29,2",198,0
162,9200000,"0,000788","0,002","0,002","0,228","15,2","0,002","0,0023","0,0182","0,3","132,47","23,7","0,09","6,63","0,015","32,2","0,018","0,006","0,06","1,9","12,6",Berbau,"5,4","27,6",Tidak Berasa,"29,2",216,0
23,330000,"0,000295","0,005","0,002","0,053","6,6","0,002","0,0023","0,032","0,3","125,54","18,2","0,09","6,4","0,0749","32,2","0,018",12,"0,08",1,"10,9",Berbau,"18,3","0,4",Tidak Berasa,"27,3",144,0
128,1400000,"0,000778","0,019","0,002","0,096","7,5","0,001","0,0023","0,037","0,3","152,54","18,4","0,09","6,53","0,0698","32,2","0,018",9,"0,06","1,4","7,9",Berbau,"23,9","0,3",Tidak Berasa,"28,2",162,0
150,700000,"0,000552","0,002","0,002","0,116","8,7","0,001","0,0023","0,099","0,3","108,38","21,7","0,09","6,51","0,044","32,2","0,018",9,"0,08","1,2","6,1",Berbau,"20,4","0,5",Tidak Berasa,"29,2",167,0
103,2800000,"0,000138","0,005","0,002","0,154","9,4","0,002","0,0023","0,056","0,3","140,5","20,7","0,1","6,57","0,1479","32,2","0,018","0,006","0,06","0,8","14,8",Berbau,"17,6","0,9",Tidak Berasa,"29,2",172,0
31,2200000,"0,000239","0,019","0,002","0,264","10,1","0,002","0,0023","0,1","0,3","130,46","20,7","0,09","6,83","0,1246","32,2","0,018","0,006","0,08","0,8","16,8",Berbau,"26,41","12,8",Tidak Berasa,"29,2",179,0
134,16000000,"0,000122","0,002","0,002","0,282","2,3","0,001","0,0023","0,1","0,3","121,43","14,9","0,09","6,39",1,"32,2","0,018","0,006","0,08",15,"19,9",Berbau,"11,9","6,4",Tidak Berasa,"27,3",136,0
150,3500000,"0,000232","0,005","0,002","0,679","12,2","0,002","0,0023","0,1",2,"121,22","14,1","0,09","6,42",2,"32,2","0,018","0,006","0,06","10,4","31,4",Berbau,"27,5","8,4",Tidak Berasa,"27,3",200,0
17,1100000,"0,000996","0,019","0,002","0,872","10,1","0,001","0,0023","0,092","0,3","174,62","20,2","0,09","6,55",74,"32,2","0,026",31,"0,08","18,2","31,7",Berbau,7,"7,4",Tidak Berasa,"28,2",183,0
78,1100000,"0,000223","0,002","0,002","0,288","8,7","0,001","0,0023","0,065","0,3","132,47","21,2","0,09","6,66",1,"32,2","0,025",28,"0,08","13,1","29,8",Berbau,6,"5,3",Tidak Berasa,"28,2","163,5",0
26,3500000,"0,000881","0,005","0,002","0,258","0,741","0,001","0,0023","0,032","0,3","125,54","22,7","0,09","5,3","0,015","32,2","0,028",31,"0,15","12,3","6,28",Tidak Berbau,20,"13,2",Tidak Berasa,"25,2","99,6",0
27,1300000,"0,000746","0,019","0,002","0,142","3,1","0,001","0,0023","0,037","0,3","152,54","13,4","0,09",4,"0,015","32,2","0,025",36,"0,045","7,9","6,2",Tidak Berbau,7,2,Tidak Berasa,"26,2","99,5",0
57,5400000,"0,000788","0,002","0,003","0,2472",741,"0,009","0,0023","0,099","0,3","108,38","14,6","0,09","5,4","0,015","32,2","0,018",42,"0,06","39,4","6,2",Berbau,"16,5","1,8",Tidak Berasa,"25,2",172,0
138,790000,"0,000295","0,005","0,001","0,1968",741,"0,01","0,0023","0,056","0,3","140,5","15,4",2,"5,6","0,015","32,2","0,018",17,"0,045","40,2","6,2",Berbau,15,"1,2",Tidak Berasa,"25,2",179,0
19,9200000,"0,000778","0,019","0,003","0,594",10,"0,002","0,0023","0,012","0,3","130,46","16,4","0,09",3,"0,015","32,2","0,018",27,"0,045","33,9","6,2",Tidak Berbau,15,"14,6",Tidak Berasa,"27,2",136,0
140,490000,"0,000552","0,002","0,001","0,516","7,5","0,002","0,0023","0,063","0,3","121,43","17,3",105,"1,9","0,015","32,2","0,018",19,"0,045","29,8","7,04",Tidak Berbau,13,"14,4",Tidak Berasa,"27,2",200,0
151,9200000,"0,000138","0,005","0,003","0,276","10,8",0,"0,0023","0,089","0,3","121,22","15,6",2,"6,1","0,015","32,2","0,018",22,"0,06","33,2","6,74",Tidak Berbau,12,"11,4",Tidak Berasa,"27,2",99,0
127,4300000,"0,000239","0,019","0,001","0,311","11,2","0,002","0,0023","0,01","0,3","174,62","20,7","0,09","4,9","0,015","32,2","0,018",0,"0,045","31,5","7,08",Tidak Berbau,14,"7,8",Tidak Berasa,"28,2","99,1",0
27,9200000,"0,0001","0,002","0,003","0,407","5,2","0,003","0,0023","0,09","0,3","132,47","21,2","0,09","2,3",18,"32,2","0,018",17,"0,08",27,"6,66",Berbau,"14,5",11,Tidak Berasa,"27,2","99,2",0
133,5400000,0,"0,005","0,002","0,451","2,6","0,007","0,0023","0,053","0,3","125,54","17,1","0,09","3,1","0,015","32,2","0,018","0,006","0,08",27,"6,28",Tidak Berbau,21,"4,4",Tidak Berasa,"28,2",142,0
40,2160000,0,"0,019","0,002","0,448","0,6","0,006","0,0023","0,094","0,3","152,54","11,4","0,009","3,5","0,015","32,2","0,018","0,006","0,06","29,8","6,26",Berbau,"20,5","3,2",Tidak Berasa,"31,2",142,0
164,135,0,"0,002","0,002","0,017","10,8",0,"0,0023","0,011","0,3","108,38","12,6","0,09","6,37","0,015","32,2","0,018",13,"10,2","15,2","24,5",Tidak Berbau,32,"4,8",Tidak Berasa,"28,2",242,0
42,184,0,"0,005","0,002","0,017",2,"0,001","0,0023","0,06","0,3","140,5","13,6","0,09","6,41","0,015","32,2","0,018",14,"7,7","11,4","20,7",Tidak Berbau,34,6,Tidak Berasa,"27,2",169,0
172,57,0,"0,019","0,002","0,017","10,3",0,"0,0023","0,095","0,3","130,46","14,4","0,09","6,35","0,015","32,2","0,018",12,"13,9","11,4",21,Tidak Berbau,38,9,Tidak Berasa,"28,2",223,0
145,123,0,"0,002","0,002","0,017",5,"0,001","0,0023","0,081","0,3","121,43","16,9","0,09","6,08","0,015","32,2","0,018",12,"33,3","3,8","29,3",Tidak Berbau,39,"0,4",Tidak Berasa,"27,2",192,0
196,190,0,"0,005","0,001","0,017","11,4","0,001","0,0023","0,07","0,3","121,22","13,2","0,09","6,35","0,015","32,2","0,018",0,"23,9","0,4","28,1",Tidak Berbau,"57,5","0,2",Tidak Berasa,"27,19",236,0
48,190,"0,000295","0,019","0,000202","0,017","11,3",0,"0,0023","0,09","0,3","174,62","13,1","0,09",7,"0,015","32,2","0,018",18,"11,3","0,6","17,2",Tidak Berbau,38,"0,2",Tidak Berasa,"27,2",138,0
111,4,"0,00","0,002","0,0001","0,017",10,0,"0,0023","0,1","0,3","132,47","15,9","0,09",7,"0,015","32,2","0,018",23,"19,5","2,3","10,6",Tidak Berbau,39,"0,5",Tidak Berasa,"27,2",133,0
152,11,"0,00","0,003","0,002","0,017",7,0,"0,009","0,05","0,3","125,54","13,9","0,09",7,"0,015","32,2","0,018","0,006","4,8","2,1","9,8",Tidak Berbau,41,"0,4",Tidak Berasa,"28,2",148,0
184,7,"0,000523","0,003","0,002","0,017",11,0,"0,009","0,1","0,3","152,54","15,2","0,09",7,"0,015","32,2","0,018",13,"20,4","1,9","12,3",Tidak Berbau,50,"0,4",Tidak Berasa,"28,2","148,5",0
182,6,"0,000963","0,003","0,002","0,017",500,0,"0,009","0,0922","0,3","108,38","11,6","0,34",7,"0,015","32,2","0,018","0,006","20,4","1,5","15,5",Tidak Berbau,44,"8,1",Tidak Berasa,"28,2",141,0
83,130,"0,00","0,003","0,002","0,017",6,"0,001","0,009","0,04","0,3","140,5","11,6","0,09",7,761,"32,2","0,018","0,006","17,9","1,5","17,9",Tidak Berbau,40,"0,3",Tidak Berasa,"28,2",145,0
19,127,0,"0,003","0,002","0,017",11,0,"0,009","0,05","0,3","130,46","14,1","0,09",7,35,"32,2","0,018","0,006","17,6","1,2","8,4",Tidak Berbau,38,"0,2",Tidak Berasa,"27,2",152,0
55,68,"0,00","0,003","0,002","0,017",2,0,"0,0023","0,06","0,3","121,43","13,9","0,09",7,"0,015","32,2","0,018","0,006","0,045","3,6","18,2",Tidak Berbau,39,"0,2",Tidak Berasa,"27,2",172,0
196,138,"0,00","0,003","0,002","0,017",12,0,"0,0023","0,009","0,3","121,22","14,9","0,09",7,"0,015","32,2","0,018",12,"0,045","0,6","8,3",Tidak Berbau,103,"0,4",Tidak Berasa,"27,2","171,5",0
143,55,"0,000694","0,003","0,001","0,017",7,0,"0,0023","0,01986","0,3","174,62","23,4","0,09",7,35,"32,2","0,018",9,"0,045","0,9","13,3",Tidak Berbau,44,"1,4",Tidak Berasa,"27,2",146,0
45,120,0,"0,003",0,"0,017",11,0,"0,0001","0,005","0,3","132,47","19,4","0,09",6,"0,015","32,2","0,018",9,"0,045","2,5","7,9",Tidak Berbau,46,"0,7",Tidak Berasa,"28,2",261,0
74,85,"0,000665","0,003",0,"0,017",5,0,"0,0002","0,006","0,3","125,54","22,9","0,09",6,"0,015","32,2","0,018","0,006",25,"4,6","11,1",Tidak Berbau,43,"27,6",Tidak Berasa,"1,3",174,0
185,117,"0,000887","0,003","0,003","0,017","0,741","0,001","0,0001","0,1","0,3","152,54","22,68","0,09",6,"0,015","32,2","0,018","0,006",25,"4,6","12,9",Tidak Berbau,42,"0,4",Tidak Berasa,"2,3",254,0
39,51,"0,00","0,003","0,003","0,017",2,"0,001","0,0001","0,07","0,3","108,38","14,2","0,09",6,"0,015","32,2","0,018","0,006",25,"2,3",15,Tidak Berbau,48,"0,3",Tidak Berasa,"3,3",227,0
176,72,"0,000623","0,003","0,002","0,017",2,"0,002","0,0001","0,09",0,"140,5","15,6","0,09",7,"0,015","32,2","0,018","0,006",25,"1,3","10,2",Tidak Berbau,45,"0,7",Tidak Berasa,"4,3",278,0
62,125,"0,000114","0,003","0,002","0,017",11,"0,005","0,0001","0,1","0,3","130,46","15,6","0,09",6,"0,015","32,2","0,018",31,25,"1,7","15,7",Tidak Berbau,43,"27,6",Tidak Berasa,"29,2",215,0
163,48,"0,000336","0,003","0,002","0,017",8,"0,019","0,0001","0,05","0,3","121,43","42,3","0,09",6,"0,015","32,2","0,018",28,25,"0,2","14,8",Tidak Berbau,45,"0,4",Tidak Berasa,"28,2",201,0
69,7,"0,000689","0,003","0,003","0,017",12,"0,002","0,0001","0,1","0,3","121,22","27,85","0,09",7,"0,015","32,2","0,018",31,25,"1,1","21,5",Tidak Berbau,"49,5","0,3",Tidak Berasa,"28,2",251,0
62,6,"0,000222","0,003","0,003","0,017",9,"0,005","0,0001","0,0922","0,3","174,62","19,4","0,09",6,"0,015","32,2","0,018",36,25,"2,3","17,7",Tidak Berbau,37,"0,7",Tidak Berasa,"28,2",230,0
90,30,"0,000954","0,003","0,003","0,017",5,"0,019","0,0001","0,04","0,3","132,47","25,2","0,09",7,"0,015","32,2","0,018",42,25,"1,9",25,Tidak Berbau,36,"27,6",Tidak Berasa,"30,2",168,0
12,30,"0,000993","0,009","0,003","0,017",4,"0,002","0,0001","0,022","0,3","125,54","22,2","0,09",6,"0,015","32,2","0,018",17,25,"1,5","27,7",Tidak Berbau,47,"0,4",Tidak Berasa,"27,3",158,0
25,73,"0,000587","0,01","0,003","0,017",4,"0,005","0,0001",0,"0,3","152,54","30,2","0,09",6,"0,015","32,2","0,018",27,"0,15","0,8","20,3",Tidak Berbau,40,"0,3",Tidak Berasa,"28,2",219,0
7,56,"0,000471","0,003","0,001","0,017",7,"0,019","0,0001","0,053","0,3","108,38","27,2","0,09",6,"0,015","32,2","0,018",19,25,"2,3","11,5",Tidak Berbau,37,"0,22",Tidak Berasa,"28,2",195,0
2,15,"0,000122","0,003","0,0031","0,017",7,"0,002","0,0001","0,113","0,3","140,5","17,6","0,09",6,"0,015","32,2","0,018",22,25,"4,4","12,7",Tidak Berbau,38,"0,31",Tidak Berasa,"28,2",264,0
48,200,"0,000232","0,003","0,002","0,017",6,"0,005","0,0001","0,141","0,3","130,46","21,2","0,09",6,"0,015","32,2","0,018",0,25,"3,3","12,9",Tidak Berbau,39,"1,23",Tidak Berasa,"29,2",174,0
40,200,"0,000996","0,003","0,001","0,017",11,"0,019","0,0001","0,0006","0,009","121,43","21,2","0,09",6,"0,015","32,2","0,018",17,25,"1,2","6,1",Tidak Berbau,0,"0,4",Tidak Berasa,"28,2",285,0
155,111,"0,000223","0,003",0,"0,017",10,"0,002","0,0001","0,001",12,"121,22","21,2","0,09",6,"0,015","32,2","0,018","0,005",25,"1,3","6,4",Tidak Berbau,0,"0,2",Tidak Berasa,"28,2",229,0
117,82,"0,000881",11,"0,001","0,017",4,"0,005","0,0001","0,00","0,009","174,62","12,9","0,09",6,"0,015","32,2","0,018","0,006",25,"0,8","6,1",Tidak Berbau,0,"0,2",Tidak Berasa,"29,2",138,0
30,200,"0,000746",12,"0,002","0,017",7,"0,019","0,0001","0,00","0,009","132,47","16,1","0,09",7,"0,015","32,2","0,018","0,013",25,"1,2","4,9",Tidak Berbau,"44,2","0,4",Tidak Berasa,"30,2",133,0
184,149,"0,000788","0,02","0,002","0,09",4,"0,002","0,0001","0,03","0,009","125,54","15,6","0,09",6,"0,015","32,2","0,018","0,006",25,"3,9","11,6",Tidak Berbau,"45,7","0,5",Tidak Berasa,"29,2",148,0
130,30,"0,000295","0,009","0,002","0,09",10,"0,003","0,0001","0,02","0,009","152,54","19,2","0,09",6,"0,015","32,2","0,018","0,006",25,"2,3","10,3",Tidak Berbau,"61,7","0,2",Tidak Berasa,"28,2","148,5",0
108,81,"0,000778","0,009","0,002","0,017",4,"0,004","0,0001","0,063","0,009","108,38","17,1","0,1","6,38","0,015","32,2","0,018",31,25,"6,1",27,Tidak Berbau,"58,4","0,4",Tidak Berasa,"29,2",141,0
12,144,"0,000552","0,16","0,002","0,017","0,741","0,002","0,0001","0,01","0,009","140,5","19,5","0,09",6,"0,015","32,2","0,018",28,25,"2,1","21,4",Tidak Berbau,"55,5","28,3",Tidak Berasa,"29,2",145,0
13,33,"0,000138","0,009","0,002","0,017",11,"0,003","0,0001","0,01","0,009","130,46","18,3","0,09",6,"0,015","32,2","0,018",31,25,3,21,Tidak Berbau,"62,3","0,2",Tidak Berasa,"29,2",152,0
40,75,"0,000239",16,"0,002","0,017",8,"0,002","0,0001","0,01","0,009","121,43","21,3","0,09",6,"0,015","32,2","0,018",36,25,"2,7","23,3",Tidak Berbau,"53,5","0,6",Tidak Berasa,"27,2",172,0
56,200,"0,000336","0,003","0,002","0,017",7,"0,001","0,0001","0,038","0,009","121,22","21,3","0,09",6,"0,0749","32,2","0,018",42,25,3,29,Tidak Berbau,39,"1,3",Tidak Berasa,"29,2","171,5",0
106,13,"0,000697","0,003","0,002","0,017",4,"0,001","0,0001","0,056","0,009","174,62",29,"0,09",6,"0,0698","32,2","0,018",17,25,"11,5","23,5",Tidak Berbau,"18,8","0,7",Tidak Berasa,"31,2",146,0
67,5,"0,000761","0,003","0,002","0,017",10,"0,001","0,0001","0,012","0,009","174,63","32,7","0,09",7,"0,044","32,2","0,018",27,25,"15,3",30,Tidak Berbau,"41,9","27,6",Tidak Berasa,"33,2","254,5",0
52,181,"0,000941",17,"0,002","0,017",9,"0,001","0,0001","0,063","0,009","174,64","33,2","0,09",6,"0,1479","32,2","0,018",19,25,"13,4","29,7",Tidak Berbau,"39,3","0,4",Tidak Berasa,"29,2",244,0
50,21,"0,000659",14,"0,002","0,017",10,"0,001","0,0001",0,"0,009","174,65","32,7","0,09",6,"0,1246","32,2","0,018",22,25,"9,5","46,2",Tidak Berbau,"28,8","0,3",Tidak Berasa,"29,2",300,0
48,31,"0,000746",3,"0,002","0,017","0,741","0,001","0,0001","0,0182","0,009","132,43","32,7",2,6,1,"32,2","0,018","0,22","0,06","2,2","30,2",Tidak Berbau,62,"38,2",Tidak Berasa,"28,2",291,0
69,85,"0,000394","0,003","0,002","0,017","0,741","0,001","0,0001","0,032","0,009","132,44","33,2","0,09",6,2,"32,2","0,018",17,"0,045","4,7","42,6",Tidak Berbau,"31,2","10,85",Tidak Berasa,"29,2",196,0
137,63,"0,000623","0,003","0,002","0,03",2,"0,001","0,0001","0,037","0,009","132,45","27,2",105,"6,16",74,"32,2","0,018","0,006","0,045","4,7","36,4",Tidak Berbau,"44,7","0,4",Tidak Berasa,"30,2",242,0
89,40,"0,000114","0,003","0,003","0,03",2,"0,001","0,0001","0,099","0,009","132,46",28,2,"6,7",1,"32,2","0,018","0,006","0,045","4,7","42,2",Tidak Berbau,"35,5","0,7",Tidak Berasa,"30,2",234,0
0,1,"0,000336","0,003","0,001","0,04","8,4","0,001","0,0001","0,056","0,009","132,47","32,29","0,09","6,45","0,015","32,2","0,018","0,006","0,045","3,9",37,Tidak Berbau,"21,6","0,2",Tidak Berasa,"28,2",190,0
16,46,"0,000689","0,003","0,003",0,"5,2","0,001","0,0001","0,1","0,009","125,54","17,3","0,09","6,44","0,015","32,2","0,018","0,006","0,045",4,"9,6",Tidak Berbau,"21,1","0,2",Tidak Berasa,"27,2",190,0
7,133,"0,000222","0,003","0,001",0,"11,4","0,001","0,0001","0,1","0,3","152,54","17,3","0,09","6,73","0,015","32,2","0,018","0,03","0,045","3,2","10,6",Tidak Berbau,"12,8","0,3",Tidak Berasa,"26,2",190,0
3,25,"0,000954","0,003","0,003","0,017","7,6","0,001","0,0001","0,1","0,3","108,38","18,8","0,009","5,77","0,015","32,2","0,018",16,"0,045",3,"4,6",Tidak Berbau,"34,83","0,7",Tidak Berasa,"26,3",190,0
51,200,"0,000993","0,003","0,001","0,017","11,3","0,001","0,0001","0,092","0,3","140,5","18,8","0,09","6,07","0,015","32,2","0,018",17,"0,045",3,"5,9",Tidak Berbau,"32,21","27,6",Tidak Berasa,"28,2",240,0
4,35,"0,000587","0,003","0,003","0,017","10,4","0,001","0,0001","0,065","0,3","130,46","16,3","0,09","6,17","0,015","32,2","0,018",18,"0,045","3,4","17,1",Tidak Berbau,"29,29","0,4",Tidak Berasa,"28,2",224,0
2,4,"0,000471","0,003","0,002","0,017","6,9","0,001","0,0001","0,032","0,3","121,43","19,8","0,09","6,32","0,015","32,2","0,018",19,"0,045","1,6","12,6",Tidak Berbau,"34,8","0,3",Tidak Berasa,"28,6",227,0
2,15,"0,000122","0,003","0,002","0,017",5,"0,001","0,0001","0,037","0,3","121,22","45,5","0,09","5,68","0,015","32,2","0,018",18,"0,045","1,4","13,4",Tidak Berbau,51,"0,5",Tidak Berasa,"28,2",227,0
200,200,"0,000232",7,"0,002","0,017","11,6","0,001","0,0001","0,099","0,3","174,62","22,5","0,09","6,32",18,"32,2","0,018",18,"0,045","2,8","13,7",Tidak Berbau,"28,05","0,9",Tidak Berasa,"27,3",333,0
"4,300,000",210,"0,00",3,6,"0,11","2,57","0,006","0,0023","0,07","0,3","130,46","11,4","0,09","7,7",7,"32,2","0,01","0,006","0,29","3,89",10,Berbau,"36,6",22,Tidak Berasa,"25,9","101,1",0
"3,900,000",250,"0,000623",3,6,"0,12","3,08",0,"0,009","0,09","0,3","121,43","12,6","0,09","7,6",7,"32,2","0,01",13,0,"12,25",50,Berbau,"26,8",25,Tidak Berasa,"24,4","92,9",0
"4,200,000",220,"0,000114",3,6,"0,18","2,48","0,001","0,009","0,1","0,3","121,22","20,2","0,09","7,4",7,"32,2","0,01","0,006",0,"11,85",47,Berbau,"25,8",19,Tidak Berasa,"24,5","92,7",0
"58,000,000","4,800,000","0,000336",3,6,"0,02","0,1",0,"0,009","0,05","0,009","174,62","7,8","0,09","7,4",7,"32,2","0,01","0,006",0,"12,15",48,Berbau,"36,2",18,Tidak Berasa,"24,5","2,220,0",0
8200,2700,"0,000689",3,6,"0,11","1,14","0,001","0,009","0,1",12,"132,47","9,1","0,09","7,6",7,"32,2","0,01","0,006",0,"5,74",10,Berbau,"27,6",19,Tidak Berasa,"26,4",174,0
120,6700,"0,000222",3,6,"0,12","1,27","0,001","0,009","0,0922","0,009","125,54","11,6","0,09","7,6",7,"32,2","0,01","0,006",0,"6,01",10,Berbau,"123,4",28,Tidak Berasa,"26,4",154,0
43000,471,"0,000954",3,"0,01",6,1,0,"0,0023","0,04","0,009","152,54","15,4","0,09","6,53","0,01","32,2","0,02",12,3,3,27,Berbau,"47,9",25,Tidak Berasa,"26,4","163,5",0
7000000,311,"0,000993",5,1,6,0,0,"0,0023","0,05","0,009","108,38","15,1","0,09","6,55",5,"32,2",2,9,3,3,55,Berbau,"54,5",25,Tidak Berasa,"26,4","99,6",0
56000,383,"0,000587",3,"0,01",6,1,0,"0,0023","0,06","0,009","140,5","14,6","0,09","6,64","0,01","32,2","0,02",9,3,3,9,Berbau,"27,7",37,Tidak Berasa,"26,4","99,5",0
270000,457,"0,000471",3,"0,01",6,1,0,"0,0001","0,009","0,009","130,46","16,4","0,09","6,4","0,01","32,2","0,02","0,006",3,3,16,Berbau,"65,4",30,Tidak Berasa,"26,4",172,0
6300000,456,"0,000122",3,"0,01",6,1,0,"0,0002","0,01986","0,009","121,43","16,6","0,09","6,63","0,01","32,2","0,02","0,006",3,3,133,Berbau,"49,1",41,Tidak Berasa,"26,4",179,0
460000,466,"0,000232",3,"0,01",6,0,"0,006","0,0001","0,005","0,009","121,22","17,4","0,09","6,63","0,01","32,2","0,02","0,006",3,3,9,Berbau,"48,7",47,Tidak Berasa,"26,4",136,0
310000,460000,"0,000996",3,"0,01",6,0,0,"0,0001","0,006","0,009","174,62","18,2","0,34","6,72","0,01","32,2","0,02","0,006",3,3,21,Berbau,45,46,Tidak Berasa,"26,4",200,0
